,Year,Week,Team,Record,%W,GB,STRK,PF,AVG_PF,PA,AVG_PA,DIV_Record,CON_Record
2,2019,1,Jrz French Faulk's,1-0-0,1.000,-,W1,206,206.0,166,166.0,1-0-0,1-0-0
3,2019,1,Darko LaDainian Texas *,1-0-0,1.000,-,W1,157,157.0,98,98.0,1-0-0,1-0-0
4,2019,1,Isma Ray Ravens,0-1-0,.000,1.0,L1,166,166.0,206,206.0,0-1-0,0-1-0
5,2019,1,Zgz Marino Phins,0-1-0,.000,1.0,L1,98,98.0,157,157.0,0-1-0,0-1-0
8,2019,1,GronkSpike,1-0-0,1.000,-,W1,255,255.0,160,160.0,1-0-0,1-0-0
9,2019,1,The Adam´s Family,1-0-0,1.000,-,W1,192,192.0,189,189.0,1-0-0,1-0-0
10,2019,1,San Joe Montana 49ers,0-1-0,.000,1.0,L1,189,189.0,192,192.0,0-1-0,0-1-0
11,2019,1,Javier Big Ben Steelers,0-1-0,.000,1.0,L1,160,160.0,255,255.0,0-1-0,0-1-0
14,2019,1,Indiana James,1-0-0,1.000,-,W1,234,234.0,222,222.0,1-0-0,1-0-0
15,2019,1,Franquicia Sin Nombre,1-0-0,1.000,-,W1,186,186.0,150,150.0,1-0-0,1-0-0
16,2019,1,Triana Bills Kelly,0-1-0,.000,1.0,L1,222,222.0,234,234.0,0-1-0,0-1-0
17,2019,1,NavaWarner Rams,0-1-0,.000,1.0,L1,150,150.0,186,186.0,0-1-0,0-1-0
20,2019,1,Malaka Reed Poe,1-0-0,1.000,-,W1,219,219.0,189,189.0,1-0-0,1-0-0
21,2019,1,Smith's Terrible Showdown,1-0-0,1.000,-,W1,164,164.0,162,162.0,1-0-0,1-0-0
22,2019,1,Vlc Tigers Watt's,0-1-0,.000,1.0,L1,189,189.0,219,219.0,0-1-0,0-1-0
23,2019,1,Córdoba Gunslingers Favre,0-1-0,.000,1.0,L1,162,162.0,164,164.0,0-1-0,0-1-0
2,2019,2,Darko LaDainian Texas *,2-0-0,1.000,-,W2,351,175.5,227,113.5,2-0-0,2-0-0
3,2019,2,Isma Ray Ravens,1-1-0,.500,1.0,W1,378,189.0,354,177.0,1-1-0,1-1-0
4,2019,2,Jrz French Faulk's,1-1-0,.500,1.0,L1,335,167.5,360,180.0,1-1-0,1-1-0
5,2019,2,Zgz Marino Phins,0-2-0,.000,2.0,L2,246,123.0,369,184.5,0-2-0,0-2-0
8,2019,2,GronkSpike,2-0-0,1.000,-,W2,461,230.5,318,159.0,2-0-0,2-0-0
9,2019,2,San Joe Montana 49ers,1-1-0,.500,1.0,W1,384,192.0,319,159.5,1-1-0,1-1-0
10,2019,2,The Adam´s Family,1-1-0,.500,1.0,L1,350,175.0,395,197.5,1-1-0,1-1-0
11,2019,2,Javier Big Ben Steelers,0-2-0,.000,2.0,L2,287,143.5,450,225.0,0-2-0,0-2-0
14,2019,2,Indiana James,2-0-0,1.000,-,W2,438,219.0,376,188.0,2-0-0,2-0-0
15,2019,2,Franquicia Sin Nombre,2-0-0,1.000,-,W2,376,188.0,336,168.0,2-0-0,2-0-0
16,2019,2,Triana Bills Kelly,0-2-0,.000,2.0,L2,408,204.0,424,212.0,0-2-0,0-2-0
17,2019,2,NavaWarner Rams,0-2-0,.000,2.0,L2,304,152.0,390,195.0,0-2-0,0-2-0
20,2019,2,Malaka Reed Poe,2-0-0,1.000,-,W2,392,196.0,340,170.0,2-0-0,2-0-0
21,2019,2,Vlc Tigers Watt's,1-1-0,.500,1.0,W1,399,199.5,412,206.0,1-1-0,1-1-0
22,2019,2,Smith's Terrible Showdown,1-1-0,.500,1.0,L1,315,157.5,335,167.5,1-1-0,1-1-0
23,2019,2,Córdoba Gunslingers Favre,0-2-0,.000,2.0,L2,355,177.5,374,187.0,0-2-0,0-2-0
2,2019,3,Isma Ray Ravens,2-1-0,.667,-,W2,585,195.0,529,176.3,2-1-0,2-1-0
3,2019,3,Jrz French Faulk's,2-1-0,.667,-,W1,555,185.0,503,167.7,2-1-0,2-1-0
4,2019,3,Darko LaDainian Texas *,2-1-0,.667,-,L1,526,175.3,434,144.7,2-1-0,2-1-0
5,2019,3,Zgz Marino Phins,0-3-0,.000,2.0,L3,389,129.7,589,196.3,0-3-0,0-3-0
8,2019,3,GronkSpike,3-0-0,1.000,-,W3,652,217.3,493,164.3,3-0-0,3-0-0
9,2019,3,The Adam´s Family,2-1-0,.667,1.0,W1,552,184.0,579,193.0,2-1-0,2-1-0
10,2019,3,San Joe Montana 49ers,1-2-0,.333,2.0,L1,559,186.3,510,170.0,1-2-0,1-2-0
11,2019,3,Javier Big Ben Steelers,0-3-0,.000,3.0,L3,471,157.0,652,217.3,0-3-0,0-3-0
14,2019,3,Franquicia Sin Nombre,3-0-0,1.000,-,W3,609,203.0,565,188.3,3-0-0,3-0-0
15,2019,3,Indiana James,2-1-0,.667,1.0,L1,667,222.3,609,203.0,2-1-0,2-1-0
16,2019,3,Triana Bills Kelly,1-2-0,.333,2.0,W1,608,202.7,584,194.7,1-2-0,1-2-0
17,2019,3,NavaWarner Rams,0-3-0,.000,3.0,L3,464,154.7,590,196.7,0-3-0,0-3-0
20,2019,3,Malaka Reed Poe,3-0-0,1.000,-,W3,631,210.3,538,179.3,3-0-0,3-0-0
21,2019,3,Smith's Terrible Showdown,2-1-0,.667,1.0,W1,501,167.0,510,170.0,2-1-0,2-1-0
22,2019,3,Vlc Tigers Watt's,1-2-0,.333,2.0,L1,574,191.3,598,199.3,1-2-0,1-2-0
23,2019,3,Córdoba Gunslingers Favre,0-3-0,.000,3.0,L3,553,184.3,613,204.3,0-3-0,0-3-0
2,2019,4,Isma Ray Ravens,3-1-0,.750,-,W3,754,188.5,682,170.5,2-1-0,3-1-0
3,2019,4,Darko LaDainian Texas *,3-1-0,.750,-,W1,738,184.5,586,146.5,2-1-0,3-1-0
4,2019,4,Jrz French Faulk's,2-2-0,.500,1.0,L1,737,184.2,708,177.0,2-1-0,2-2-0
5,2019,4,Zgz Marino Phins,1-3-0,.250,2.0,W1,558,139.5,747,186.8,0-3-0,1-3-0
8,2019,4,GronkSpike,3-1-0,.750,-,L1,805,201.2,662,165.5,3-0-0,3-1-0
9,2019,4,The Adam´s Family,2-2-0,.500,1.0,L1,704,176.0,791,197.8,2-1-0,2-2-0
10,2019,4,San Joe Montana 49ers,1-3-0,.250,2.0,L2,717,179.2,679,169.8,1-2-0,1-3-0
11,2019,4,Javier Big Ben Steelers,1-3-0,.250,2.0,W1,676,169.0,834,208.5,0-3-0,1-3-0
14,2019,4,Franquicia Sin Nombre,4-0-0,1.000,-,W4,800,200.0,754,188.5,3-0-0,4-0-0
15,2019,4,Triana Bills Kelly,2-2-0,.500,2.0,W2,819,204.8,741,185.2,1-2-0,2-2-0
16,2019,4,Indiana James,2-2-0,.500,2.0,L2,798,199.5,768,192.0,2-1-0,2-2-0
17,2019,4,NavaWarner Rams,1-3-0,.250,3.0,W1,644,161.0,769,192.2,0-3-0,1-3-0
20,2019,4,Malaka Reed Poe,3-1-0,.750,-,L1,820,205.0,729,182.2,3-0-0,3-1-0
21,2019,4,Smith's Terrible Showdown,2-2-0,.500,1.0,L1,680,170.0,690,172.5,2-1-0,2-2-0
22,2019,4,Vlc Tigers Watt's,1-3-0,.250,2.0,L2,731,182.8,809,202.2,1-2-0,1-3-0
23,2019,4,Córdoba Gunslingers Favre,1-3-0,.250,2.0,W1,712,178.0,744,186.0,0-3-0,1-3-0
2,2019,5,Isma Ray Ravens,4-1-0,.800,-,W4,959,191.8,846,169.2,2-1-0,3-1-0
3,2019,5,Darko LaDainian Texas *,4-1-0,.800,-,W2,943,188.6,742,148.4,2-1-0,3-1-0
4,2019,5,Jrz French Faulk's,2-3-0,.400,2.0,L2,926,185.2,965,193.0,2-1-0,2-2-0
5,2019,5,Zgz Marino Phins,1-4-0,.200,3.0,L1,661,132.2,894,178.8,0-3-0,1-3-0
8,2019,5,GronkSpike,3-2-0,.600,-,L2,975,195.0,897,179.4,3-0-0,3-1-0
9,2019,5,Javier Big Ben Steelers,2-3-0,.400,1.0,W2,882,176.4,1039,207.8,0-3-0,1-3-0
10,2019,5,The Adam´s Family,2-3-0,.400,1.0,L2,877,175.4,979,195.8,2-1-0,2-2-0
11,2019,5,San Joe Montana 49ers,1-4-0,.200,2.0,L3,861,172.2,824,164.8,1-2-0,1-3-0
14,2019,5,Franquicia Sin Nombre,5-0-0,1.000,-,W5,988,197.6,927,185.4,3-0-0,4-0-0
15,2019,5,Triana Bills Kelly,3-2-0,.600,2.0,W3,1054,210.8,911,182.2,1-2-0,2-2-0
16,2019,5,Indiana James,2-3-0,.400,3.0,L3,1003,200.6,974,194.8,2-1-0,2-2-0
17,2019,5,NavaWarner Rams,2-3-0,.400,3.0,W2,789,157.8,913,182.6,0-3-0,1-3-0
20,2019,5,Malaka Reed Poe,3-2-0,.600,-,L2,976,195.2,934,186.8,3-0-0,3-1-0
21,2019,5,Smith's Terrible Showdown,3-2-0,.600,-,W1,937,187.4,879,175.8,2-1-0,2-2-0
22,2019,5,Córdoba Gunslingers Favre,2-3-0,.400,1.0,W2,859,171.8,847,169.4,0-3-0,1-3-0
23,2019,5,Vlc Tigers Watt's,1-4-0,.200,2.0,L3,895,179.0,1014,202.8,1-2-0,1-3-0
2,2019,6,Isma Ray Ravens,5-1-0,.833,-,W5,1122,187.0,996,166.0,2-1-0,4-1-0
3,2019,6,Darko LaDainian Texas *,4-2-0,.667,1.0,L1,1111,185.2,913,152.2,2-1-0,3-2-0
4,2019,6,Jrz French Faulk's,3-3-0,.500,2.0,W1,1086,181.0,1111,185.2,2-1-0,3-2-0
5,2019,6,Zgz Marino Phins,2-4-0,.333,3.0,W1,831,138.5,1058,176.3,0-3-0,2-3-0
8,2019,6,GronkSpike,4-2-0,.667,-,W1,1146,191.0,1065,177.5,3-0-0,4-1-0
9,2019,6,Javier Big Ben Steelers,2-4-0,.333,2.0,L1,1046,174.3,1209,201.5,0-3-0,1-4-0
10,2019,6,The Adam´s Family,2-4-0,.333,2.0,L3,1023,170.5,1139,189.8,2-1-0,2-3-0
11,2019,6,San Joe Montana 49ers,1-5-0,.167,3.0,L4,1011,168.5,987,164.5,1-2-0,1-4-0
14,2019,6,Franquicia Sin Nombre,6-0-0,1.000,-,W6,1157,192.8,1075,179.2,3-0-0,5-0-0
15,2019,6,Triana Bills Kelly,4-2-0,.667,2.0,W4,1244,207.3,1060,176.7,1-2-0,3-2-0
16,2019,6,Indiana James,2-4-0,.333,4.0,L4,1148,191.3,1121,186.8,2-1-0,2-3-0
17,2019,6,NavaWarner Rams,2-4-0,.333,4.0,L1,896,149.3,1091,181.8,0-3-0,1-4-0
20,2019,6,Malaka Reed Poe,3-3-0,.500,-,L3,1125,187.5,1124,187.3,3-0-0,3-2-0
21,2019,6,Smith's Terrible Showdown,3-3-0,.500,-,L1,1085,180.8,1048,174.7,2-1-0,2-3-0
22,2019,6,Córdoba Gunslingers Favre,3-3-0,.500,-,W3,1037,172.8,954,159.0,0-3-0,2-3-0
23,2019,6,Vlc Tigers Watt's,2-4-0,.333,1.0,W1,1042,173.7,1159,193.2,1-2-0,2-3-0
2,2019,7,Darko LaDainian Texas *,5-2-0,.714,-,W1,1269,181.3,1068,152.6,2-1-0,3-2-0
3,2019,7,Isma Ray Ravens,5-2-0,.714,-,L1,1239,177.0,1127,161.0,2-1-0,4-1-0
4,2019,7,Jrz French Faulk's,4-3-0,.571,1.0,W2,1274,182.0,1280,182.9,2-1-0,3-2-0
5,2019,7,Zgz Marino Phins,2-5-0,.286,3.0,L1,931,133.0,1257,179.6,0-3-0,2-3-0
8,2019,7,GronkSpike,4-3-0,.571,-,L1,1293,184.7,1225,175.0,3-0-0,4-1-0
9,2019,7,Javier Big Ben Steelers,3-4-0,.429,1.0,W1,1256,179.4,1369,195.6,0-3-0,1-4-0
10,2019,7,The Adam´s Family,2-5-0,.286,2.0,L4,1127,161.0,1344,192.0,2-1-0,2-3-0
11,2019,7,San Joe Montana 49ers,1-6-0,.143,3.0,L5,1181,168.7,1170,167.1,1-2-0,1-4-0
14,2019,7,Franquicia Sin Nombre,6-1-0,.857,-,L1,1312,187.4,1233,176.1,3-0-0,5-0-0
15,2019,7,Triana Bills Kelly,4-3-0,.571,2.0,L1,1413,201.9,1248,178.3,1-2-0,3-2-0
16,2019,7,Indiana James,3-4-0,.429,3.0,W1,1279,182.7,1238,176.9,2-1-0,2-3-0
17,2019,7,NavaWarner Rams,3-4-0,.429,3.0,W1,1095,156.4,1191,170.1,0-3-0,1-4-0
20,2019,7,Smith's Terrible Showdown,4-3-0,.571,-,W1,1290,184.3,1152,164.6,2-1-0,2-3-0
21,2019,7,Malaka Reed Poe,4-3-0,.571,-,W1,1285,183.6,1271,181.6,3-0-0,3-2-0
22,2019,7,Córdoba Gunslingers Favre,4-3-0,.571,-,W4,1220,174.3,1124,160.6,0-3-0,2-3-0
23,2019,7,Vlc Tigers Watt's,2-5-0,.286,2.0,L1,1202,171.7,1369,195.6,1-2-0,2-3-0
2,2019,8,Darko LaDainian Texas *,5-3-0,.625,-,L1,1477,184.6,1284,160.5,2-1-0,3-2-0
3,2019,8,Jrz French Faulk's,5-3-0,.625,-,W3,1464,183.0,1436,179.5,2-1-0,3-2-0
4,2019,8,Isma Ray Ravens,5-3-0,.625,-,L2,1422,177.8,1327,165.9,2-1-0,4-1-0
5,2019,8,Zgz Marino Phins,2-6-0,.250,3.0,L2,1080,135.0,1461,182.6,0-3-0,2-3-0
8,2019,8,GronkSpike,5-3-0,.625,-,W1,1476,184.5,1398,174.8,3-0-0,4-1-0
9,2019,8,Javier Big Ben Steelers,4-4-0,.500,1.0,W2,1431,178.9,1508,188.5,0-3-0,1-4-0
10,2019,8,The Adam´s Family,2-6-0,.250,3.0,L5,1274,159.2,1582,197.8,2-1-0,2-3-0
11,2019,8,San Joe Montana 49ers,1-7-0,.125,4.0,L6,1335,166.9,1375,171.9,1-2-0,1-4-0
14,2019,8,Franquicia Sin Nombre,7-1-0,.875,-,W1,1517,189.6,1387,173.4,3-0-0,5-0-0
15,2019,8,Triana Bills Kelly,4-4-0,.500,3.0,L2,1552,194.0,1423,177.9,1-2-0,3-2-0
16,2019,8,NavaWarner Rams,4-4-0,.500,3.0,W2,1333,166.6,1338,167.2,0-3-0,1-4-0
17,2019,8,Indiana James,3-5-0,.375,4.0,L1,1452,181.5,1421,177.6,2-1-0,2-3-0
20,2019,8,Smith's Terrible Showdown,5-3-0,.625,-,W2,1506,188.2,1360,170.0,2-1-0,2-3-0
21,2019,8,Malaka Reed Poe,5-3-0,.625,-,W2,1489,186.1,1420,177.5,3-0-0,3-2-0
22,2019,8,Córdoba Gunslingers Favre,5-3-0,.625,-,W5,1420,177.5,1307,163.4,0-3-0,2-3-0
23,2019,8,Vlc Tigers Watt's,2-6-0,.250,3.0,L2,1358,169.8,1559,194.9,1-2-0,2-3-0
2,2019,9,Jrz French Faulk's,6-3-0,.667,-,W4,1689,187.7,1631,181.2,2-1-0,4-2-0
3,2019,9,Isma Ray Ravens,6-3-0,.667,-,W1,1620,180.0,1485,165.0,2-1-0,5-1-0
4,2019,9,Darko LaDainian Texas *,5-4-0,.556,1.0,L2,1635,181.7,1463,162.6,2-1-0,3-3-0
5,2019,9,Zgz Marino Phins,3-6-0,.333,3.0,W1,1266,140.7,1616,179.6,0-3-0,3-3-0
8,2019,9,GronkSpike,5-4-0,.556,-,L1,1631,181.2,1584,176.0,3-0-0,4-2-0
9,2019,9,Javier Big Ben Steelers,5-4-0,.556,-,W3,1610,178.9,1666,185.1,0-3-0,2-4-0
10,2019,9,The Adam´s Family,2-7-0,.222,3.0,L6,1432,159.1,1780,197.8,2-1-0,2-4-0
11,2019,9,San Joe Montana 49ers,1-8-0,.111,4.0,L7,1530,170.0,1600,177.8,1-2-0,1-5-0
14,2019,9,Franquicia Sin Nombre,7-2-0,.778,-,L1,1678,186.4,1598,177.6,3-0-0,5-1-0
15,2019,9,Triana Bills Kelly,4-5-0,.444,3.0,L3,1717,190.8,1601,177.9,1-2-0,3-3-0
16,2019,9,NavaWarner Rams,4-5-0,.444,3.0,L1,1505,167.2,1536,170.7,0-3-0,1-5-0
17,2019,9,Indiana James,3-6-0,.333,4.0,L2,1621,180.1,1601,177.9,2-1-0,2-4-0
20,2019,9,Smith's Terrible Showdown,6-3-0,.667,-,W3,1684,187.1,1525,169.4,2-1-0,3-3-0
21,2019,9,Malaka Reed Poe,6-3-0,.667,-,W3,1669,185.4,1589,176.6,3-0-0,4-2-0
22,2019,9,Córdoba Gunslingers Favre,6-3-0,.667,-,W6,1631,181.2,1468,163.1,0-3-0,3-3-0
23,2019,9,Vlc Tigers Watt's,3-6-0,.333,3.0,W1,1556,172.9,1731,192.3,1-2-0,3-3-0
2,2019,10,Isma Ray Ravens,7-3-0,.700,-,W2,1786,178.6,1636,163.6,2-1-0,6-1-0
3,2019,10,Jrz French Faulk's,6-3-1,.650,.5,T1,1890,189.0,1832,183.2,2-1-0,4-2-1
4,2019,10,Darko LaDainian Texas *,5-5-0,.500,2.0,L3,1795,179.5,1651,165.1,2-1-0,3-4-0
5,2019,10,Zgz Marino Phins,3-7-0,.300,4.0,L1,1390,139.0,1743,174.3,0-3-0,3-4-0
8,2019,10,GronkSpike,5-4-1,.550,-,T1,1832,183.2,1785,178.5,3-0-0,4-2-1
9,2019,10,Javier Big Ben Steelers,5-5-0,.500,.5,L1,1761,176.1,1832,183.2,0-3-0,2-5-0
10,2019,10,The Adam´s Family,3-7-0,.300,2.5,W1,1559,155.9,1904,190.4,2-1-0,3-4-0
11,2019,10,San Joe Montana 49ers,2-8-0,.200,3.5,W1,1718,171.8,1760,176.0,1-2-0,2-5-0
14,2019,10,Franquicia Sin Nombre,7-3-0,.700,-,L2,1815,181.5,1784,178.4,3-0-0,5-2-0
15,2019,10,Triana Bills Kelly,5-5-0,.500,2.0,W1,1960,196.0,1750,175.0,1-2-0,4-3-0
16,2019,10,NavaWarner Rams,4-6-0,.400,3.0,L2,1687,168.7,1720,172.0,0-3-0,1-6-0
17,2019,10,Indiana James,3-7-0,.300,4.0,L3,1761,176.1,1756,175.6,2-1-0,2-5-0
20,2019,10,Malaka Reed Poe,7-3-0,.700,-,W4,1853,185.3,1771,177.1,3-0-0,5-2-0
21,2019,10,Smith's Terrible Showdown,7-3-0,.700,-,W4,1839,183.9,1665,166.5,2-1-0,4-3-0
22,2019,10,Córdoba Gunslingers Favre,6-4-0,.600,1.0,L1,1780,178.0,1711,171.1,0-3-0,3-4-0
23,2019,10,Vlc Tigers Watt's,4-6-0,.400,3.0,W2,1742,174.2,1868,186.8,1-2-0,4-3-0
2,2019,11,Jrz French Faulk's,7-3-1,.682,-,W1,2091,190.1,1949,177.2,3-1-0,5-2-1
3,2019,11,Isma Ray Ravens,7-4-0,.636,.5,L1,1903,173.0,1837,167.0,2-2-0,6-2-0
4,2019,11,Darko LaDainian Texas *,5-6-0,.455,2.5,L4,1965,178.6,1825,165.9,2-2-0,3-5-0
5,2019,11,Zgz Marino Phins,4-7-0,.364,3.5,W1,1564,142.2,1913,173.9,1-3-0,4-4-0
8,2019,11,Javier Big Ben Steelers,6-5-0,.545,-,W1,1934,175.8,1953,177.5,1-3-0,3-5-0
9,2019,11,GronkSpike,5-5-1,.500,.5,L1,1953,177.5,1958,178.0,3-1-0,4-3-1
10,2019,11,The Adam´s Family,4-7-0,.364,2.0,W2,1711,155.5,2055,186.8,3-1-0,4-4-0
11,2019,11,San Joe Montana 49ers,2-9-0,.182,4.0,L1,1869,169.9,1912,173.8,1-3-0,2-6-0
14,2019,11,Franquicia Sin Nombre,8-3-0,.727,-,W1,2008,182.5,1923,174.8,4-0-0,6-2-0
15,2019,11,Triana Bills Kelly,6-5-0,.545,2.0,W2,2174,197.6,1909,173.5,2-2-0,5-3-0
16,2019,11,NavaWarner Rams,4-7-0,.364,4.0,L3,1826,166.0,1913,173.9,0-4-0,1-7-0
17,2019,11,Indiana James,3-8-0,.273,5.0,L4,1920,174.5,1970,179.1,2-2-0,2-6-0
20,2019,11,Smith's Terrible Showdown,8-3-0,.727,-,W5,2038,185.3,1842,167.5,3-1-0,5-3-0
21,2019,11,Malaka Reed Poe,8-3-0,.727,-,W5,2037,185.2,1930,175.5,4-0-0,6-2-0
22,2019,11,Córdoba Gunslingers Favre,6-5-0,.545,2.0,L2,1957,177.9,1910,173.6,0-4-0,3-5-0
23,2019,11,Vlc Tigers Watt's,4-7-0,.364,4.0,L1,1901,172.8,2052,186.5,1-3-0,4-4-0
2,2019,12,Jrz French Faulk's,7-4-1,.625,-,L1,2237,186.4,2164,180.3,3-2-0,5-3-1
3,2019,12,Isma Ray Ravens,7-5-0,.583,.5,L2,2074,172.8,2032,169.3,2-3-0,6-3-0
4,2019,12,Darko LaDainian Texas *,6-6-0,.500,1.5,W1,2180,181.7,1971,164.2,3-2-0,4-5-0
5,2019,12,Zgz Marino Phins,5-7-0,.417,2.5,W2,1759,146.6,2084,173.7,2-3-0,5-4-0
8,2019,12,Javier Big Ben Steelers,7-5-0,.583,-,W2,2094,174.5,2062,171.8,2-3-0,4-5-0
9,2019,12,GronkSpike,5-6-1,.458,1.5,L2,2100,175.0,2106,175.5,3-2-0,4-4-1
10,2019,12,The Adam´s Family,5-7-0,.417,2.0,W3,1859,154.9,2202,183.5,4-1-0,5-4-0
11,2019,12,San Joe Montana 49ers,2-10-0,.167,5.0,L2,1978,164.8,2072,172.7,1-4-0,2-7-0
14,2019,12,Franquicia Sin Nombre,8-4-0,.667,-,L1,2217,184.8,2137,178.1,4-1-0,6-3-0
15,2019,12,Triana Bills Kelly,7-5-0,.583,1.0,W3,2388,199.0,2118,176.5,3-2-0,6-3-0
16,2019,12,NavaWarner Rams,5-7-0,.417,3.0,W1,2011,167.6,2041,170.1,1-4-0,2-7-0
17,2019,12,Indiana James,3-9-0,.250,5.0,L5,2048,170.7,2155,179.6,2-3-0,2-7-0
20,2019,12,Malaka Reed Poe,9-3-0,.750,-,W6,2234,186.2,2086,173.8,5-0-0,7-2-0
21,2019,12,Smith's Terrible Showdown,8-4-0,.667,1.0,L1,2194,182.8,2039,169.9,3-2-0,5-4-0
22,2019,12,Córdoba Gunslingers Favre,6-6-0,.500,3.0,L3,2099,174.9,2070,172.5,0-5-0,3-6-0
23,2019,12,Vlc Tigers Watt's,5-7-0,.417,4.0,W1,2061,171.8,2194,182.8,2-3-0,5-4-0
2,2019,13,Isma Ray Ravens,8-5-0,.615,-,W1,2284,175.7,2224,171.1,3-3-0,7-3-0
3,2019,13,Jrz French Faulk's,7-5-1,.577,.5,L2,2400,184.6,2358,181.4,3-3-0,5-4-1
4,2019,13,Darko LaDainian Texas *,6-7-0,.462,2.0,L1,2372,182.5,2181,167.8,3-3-0,4-6-0
5,2019,13,Zgz Marino Phins,6-7-0,.462,2.0,W3,1953,150.2,2247,172.8,3-3-0,6-4-0
8,2019,13,Javier Big Ben Steelers,8-5-0,.615,-,W3,2293,176.4,2162,166.3,3-3-0,5-5-0
9,2019,13,GronkSpike,5-7-1,.423,2.5,L3,2252,173.2,2281,175.5,3-3-0,4-5-1
10,2019,13,The Adam´s Family,5-8-0,.385,3.0,L1,1959,150.7,2401,184.7,4-2-0,5-5-0
11,2019,13,San Joe Montana 49ers,3-10-0,.231,5.0,W1,2153,165.6,2224,171.1,2-4-0,3-7-0
14,2019,13,Franquicia Sin Nombre,9-4-0,.692,-,W1,2403,184.8,2274,174.9,5-1-0,7-3-0
15,2019,13,Triana Bills Kelly,8-5-0,.615,1.0,W4,2564,197.2,2289,176.1,4-2-0,7-3-0
16,2019,13,NavaWarner Rams,5-8-0,.385,4.0,L1,2182,167.8,2217,170.5,1-5-0,2-8-0
17,2019,13,Indiana James,3-10-0,.231,6.0,L6,2185,168.1,2341,180.1,2-4-0,2-8-0
20,2019,13,Smith's Terrible Showdown,9-4-0,.692,-,W1,2409,185.3,2218,170.6,4-2-0,6-4-0
21,2019,13,Malaka Reed Poe,9-4-0,.692,-,L1,2408,185.2,2264,174.2,5-1-0,7-3-0
22,2019,13,Córdoba Gunslingers Favre,7-6-0,.538,2.0,W1,2277,175.2,2244,172.6,1-5-0,4-6-0
23,2019,13,Vlc Tigers Watt's,5-8-0,.385,4.0,L1,2240,172.3,2409,185.3,2-4-0,5-5-0
2,2020,1,Zgz Marino Phins,1-0-0,1.000,-,W1,204,204.0,184,184.0,1-0-0,1-0-0
3,2020,1,Isma Ray Ravens,1-0-0,1.000,-,W1,187,187.0,143,143.0,1-0-0,1-0-0
4,2020,1,Darko LaDainian Texas *,0-1-0,.000,1.0,L1,184,184.0,204,204.0,0-1-0,0-1-0
5,2020,1,Jrz French Faulk's,0-1-0,.000,1.0,L1,143,143.0,187,187.0,0-1-0,0-1-0
8,2020,1,GronkSpike,1-0-0,1.000,-,W1,221,221.0,171,171.0,1-0-0,1-0-0
9,2020,1,San Joe Montana 49ers,1-0-0,1.000,-,W1,214,214.0,155,155.0,1-0-0,1-0-0
10,2020,1,Javier Big Ben Steelers,0-1-0,.000,1.0,L1,171,171.0,221,221.0,0-1-0,0-1-0
11,2020,1,The Adam´s Family,0-1-0,.000,1.0,L1,155,155.0,214,214.0,0-1-0,0-1-0
14,2020,1,Triana Bills Kelly,1-0-0,1.000,-,W1,182,182.0,142,142.0,1-0-0,1-0-0
15,2020,1,El Predicador Almogávar,1-0-0,1.000,-,W1,140,140.0,0,.0,1-0-0,1-0-0
16,2020,1,Indiana James,0-1-0,.000,1.0,L1,142,142.0,182,182.0,0-1-0,0-1-0
17,2020,1,Pittsburgh Terror Lambert,0-1-0,.000,1.0,L1,0,.0,140,140.0,0-1-0,0-1-0
20,2020,1,Vlc Tigers Watt's,1-0-0,1.000,-,W1,202,202.0,194,194.0,1-0-0,1-0-0
21,2020,1,Smith's Terrible Showdown,1-0-0,1.000,-,W1,197,197.0,174,174.0,1-0-0,1-0-0
22,2020,1,Malaka Reed Poe,0-1-0,.000,1.0,L1,194,194.0,202,202.0,0-1-0,0-1-0
23,2020,1,Córdoba Gunslingers Favre,0-1-0,.000,1.0,L1,174,174.0,197,197.0,0-1-0,0-1-0
2,2020,2,Zgz Marino Phins,2-0-0,1.000,-,W2,378,189.0,351,175.5,2-0-0,2-0-0
3,2020,2,Isma Ray Ravens,1-1-0,.500,1.0,L1,354,177.0,317,158.5,1-1-0,1-1-0
4,2020,2,Jrz French Faulk's,1-1-0,.500,1.0,W1,334,167.0,358,179.0,1-1-0,1-1-0
5,2020,2,Darko LaDainian Texas *,0-2-0,.000,2.0,L2,355,177.5,395,197.5,0-2-0,0-2-0
8,2020,2,San Joe Montana 49ers,2-0-0,1.000,-,W2,424,212.0,351,175.5,2-0-0,2-0-0
9,2020,2,GronkSpike,2-0-0,1.000,-,W2,403,201.5,333,166.5,2-0-0,2-0-0
10,2020,2,Javier Big Ben Steelers,0-2-0,.000,2.0,L2,367,183.5,431,215.5,0-2-0,0-2-0
11,2020,2,The Adam´s Family,0-2-0,.000,2.0,L2,317,158.5,396,198.0,0-2-0,0-2-0
14,2020,2,Triana Bills Kelly,2-0-0,1.000,-,W2,408,204.0,142,71.0,2-0-0,2-0-0
15,2020,2,El Predicador Almogávar,2-0-0,1.000,-,W2,313,156.5,165,82.5,2-0-0,2-0-0
16,2020,2,Indiana James,0-2-0,.000,2.0,L2,307,153.5,355,177.5,0-2-0,0-2-0
17,2020,2,Pittsburgh Terror Lambert,0-2-0,.000,2.0,L2,0,.0,366,183.0,0-2-0,0-2-0
20,2020,2,Smith's Terrible Showdown,2-0-0,1.000,-,W2,471,235.5,341,170.5,2-0-0,2-0-0
21,2020,2,Vlc Tigers Watt's,2-0-0,1.000,-,W2,407,203.5,386,193.0,2-0-0,2-0-0
